Price,Close,High,Low,Open,Volume
Ticker,CL=F,CL=F,CL=F,CL=F,CL=F
2020-05-01,19.780000686645508,20.479999542236328,18.06999969482422,19.040000915527344,403201
2020-05-04,20.389999389648438,21.420000076293945,18.049999237060547,19.110000610351562,311488
2020-05-05,24.559999465942383,25.489999771118164,21.1299991607666,21.239999771118164,387240
2020-05-06,23.989999771118164,26.079999923706055,22.579999923706055,25.520000457763672,381165
2020-05-07,23.549999237060547,26.739999771118164,22.940000534057617,24.09000015258789,310261
2020-05-08,24.739999771118164,24.989999771118164,23.260000228881836,23.350000381469727,205181
2020-05-11,24.139999389648438,25.579999923706055,23.670000076293945,24.489999771118164,179591
2020-05-12,25.780000686645508,26.229999542236328,24.219999313354492,24.489999771118164,212335
2020-05-13,25.290000915527344,26.450000762939453,24.790000915527344,25.299999237060547,150864
2020-05-14,27.559999465942383,27.959999084472656,25.18000030517578,25.559999465942383,160507
2020-05-15,29.43000030517578,29.920000076293945,27.239999771118164,27.639999389648438,108016
2020-05-18,31.81999969482422,33.31999969482422,29.530000686645508,29.530000686645508,89376
2020-05-19,32.5,33.439998626708984,31.34000015258789,32.83000183105469,430823
2020-05-20,33.4900016784668,33.779998779296875,31.559999465942383,31.889999389648438,406431
2020-05-21,33.91999816894531,34.65999984741211,33.2599983215332,33.529998779296875,372814
2020-05-22,33.25,34.0,30.719999313354492,33.95000076293945,429036
2020-05-26,34.349998474121094,34.810001373291016,32.47999954223633,33.29999923706055,466737
2020-05-27,32.810001373291016,34.31999969482422,31.75,34.13999938964844,415246
2020-05-28,33.709999084472656,34.209999084472656,31.139999389648438,32.099998474121094,440168
2020-05-29,35.4900016784668,35.77000045776367,32.36000061035156,33.68000030517578,443647
2020-06-01,35.439998626708984,35.900001525878906,34.27000045776367,35.209999084472656,385710
2020-06-02,36.810001373291016,37.060001373291016,35.279998779296875,35.560001373291016,343483
2020-06-03,37.290000915527344,38.18000030517578,35.880001068115234,36.86000061035156,494253
2020-06-04,37.40999984741211,37.619998931884766,36.380001068115234,36.7599983215332,307612
2020-06-05,39.54999923706055,39.68000030517578,37.04999923706055,37.33000183105469,396856
2020-06-08,38.189998626708984,40.439998626708984,37.959999084472656,39.40999984741211,416639
2020-06-09,38.939998626708984,39.099998474121094,37.06999969482422,38.220001220703125,396033
2020-06-10,39.599998474121094,39.90999984741211,37.72999954223633,38.5,385868
2020-06-11,36.34000015258789,39.09000015258789,35.40999984741211,39.09000015258789,513912
2020-06-12,36.2599983215332,36.9900016784668,34.47999954223633,36.2599983215332,406508
2020-06-15,37.119998931884766,37.2599983215332,34.36000061035156,36.029998779296875,387546
2020-06-16,38.380001068115234,39.060001373291016,36.380001068115234,37.04999923706055,366323
2020-06-17,37.959999084472656,38.75,37.209999084472656,37.93000030517578,239516
2020-06-18,38.84000015258789,38.970001220703125,37.11000061035156,37.7400016784668,113384
2020-06-19,39.75,40.4900016784668,38.400001525878906,38.849998474121094,64113
2020-06-22,40.459999084472656,40.70000076293945,39.119998931884766,39.18000030517578,315264
2020-06-23,40.369998931884766,41.630001068115234,39.7599983215332,40.68000030517578,368730
2020-06-24,38.0099983215332,40.540000915527344,37.310001373291016,39.9900016784668,499490
2020-06-25,38.720001220703125,39.22999954223633,37.08000183105469,38.04999923706055,451640
2020-06-26,38.4900016784668,39.349998474121094,37.790000915527344,39.09000015258789,356712
2020-06-29,39.70000076293945,39.88999938964844,37.5,37.959999084472656,343913
