Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
2020-05-01,69.78251647949219,72.17965163700352,69.00519685948858,69.1017567929507,240616800
2020-05-04,70.76983642578125,70.89777995985193,69.11863770856678,69.80663901583497,133568000
2020-05-05,71.83201599121094,72.66244451792257,71.08366376030753,71.2285073158129,147751200
2020-05-06,72.57313537597656,73.20319497472518,72.14826285856589,72.53209353947886,142333600
2020-05-07,73.32389831542969,73.66911092684012,72.89661676334377,73.19837114485792,115215200
2020-05-08,75.06912231445312,75.12237513838589,73.65551062741005,73.98228898395239,133838400
2020-05-11,76.25037384033203,76.74416477518758,74.36958632362644,74.57775917368724,145946400
2020-05-12,75.37896728515625,77.38319884408511,75.25793879153254,76.93296900656856,162301200
2020-05-13,74.46881866455078,76.47789576756719,73.39408522317618,75.55807493186354,200622400
2020-05-14,74.92632293701172,74.98683718466037,72.98744407851115,73.70877656980059,158929200
2020-05-15,74.48334503173828,74.52933644505968,72.66791783323735,72.70180935336562,166348400
2020-05-18,76.23827362060547,76.61104348348049,75.11513293810333,75.80499689236754,135178400
2020-05-19,75.79774475097656,77.10000541594032,75.76627615398213,76.25522871352638,101729600
2020-05-20,77.27185821533203,77.34204942619355,76.6158784313997,76.65460843756124,111504800
2020-05-21,76.69575500488281,77.67366726497515,76.4585365069764,77.13387754437865,102688800
2020-05-22,77.1895523071289,77.27185079219365,76.33266854723075,76.43432834001963,81803200
2020-05-26,76.66669464111328,78.48453717513182,76.61101888750217,78.30541740950063,125522000
2020-05-27,77.00074005126953,77.1459757123096,75.7856167074525,76.52389490649263,112945200
2020-05-28,77.03463745117188,78.29091382648822,76.4004493161322,76.67639044487011,133560800
2020-05-29,76.95958709716797,77.73658783652532,76.60376308600569,77.27668110998019,153532400
2020-06-01,77.90604400634766,78.02707250180976,76.78289602270274,76.91360886615988,80791200
2020-06-02,78.2667007446289,78.29090791932163,77.19922860751555,77.63977407114822,87642800
2020-06-03,78.69756317138672,78.95898884323296,78.01496072344597,78.58621903033732,104491200
2020-06-04,78.01982879638672,78.81861409294638,77.64705887739464,78.52088865420797,87560400
2020-06-05,80.24189758300781,80.3024118345787,78.24008880036028,78.26913445919533,137250400
2020-06-08,80.71632385253906,80.75021537775042,79.23009773769596,79.93932296340279,95654400
2020-06-09,83.26518249511719,83.6573136410901,80.36534445233356,80.39681304328083,147712400
2020-06-10,85.40737915039062,85.87454732273147,83.77349462695621,84.21161714524366,166651600
2020-06-11,81.30693817138672,84.97652287764004,81.20527837641917,84.55292316229209,201662400
2020-06-12,82.0089111328125,84.18742419889422,80.90029328946143,83.44189186655679,200146000
2020-06-15,83.02313232421875,83.67426627857331,80.50331793854433,80.66549938713932,138808800
2020-06-16,85.22341918945312,85.49452921505798,83.44188334314991,85.07334504214955,165428800
2020-06-17,85.10482025146484,86.02705683600927,84.98379175074255,85.96654258564811,114406400
2020-06-18,85.13867950439453,85.55501768454005,84.53111429723695,85.06121952041615,96820400
2020-06-19,84.65215301513672,86.30782159170373,83.5459510308644,85.84307640546994,264476000
2020-06-22,86.86699676513672,87.0098095125726,84.99831637895207,85.04430780115948,135445200
2020-06-23,88.72116088867188,90.1371959593026,87.68999560053155,88.10875691220691,212155600
2020-06-24,87.15503692626953,89.26819705246864,86.78226710315806,88.35079901624333,192623200
2020-06-25,88.31206512451172,88.35079512662277,86.55231359048508,87.3099530977363,137522400
2020-06-26,85.59859466552734,88.42824081207692,85.45093609470156,88.20796811592135,205256800
2020-06-29,87.57136535644531,87.66577111516035,85.02976731524565,85.50661981464565,130646000
2020-06-30,88.30237579345703,88.58800861953088,87.1405053436716,87.1598666501381,140223200
2020-07-01,88.13536071777344,88.92204587845694,88.08695375546539,88.37984062385425,110737200
2020-07-02,88.13536071777344,89.67484690422407,88.02160103220285,89.04065881814572,114041600
